Game,Manufacturer,Platform,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestOfWorld,Global
FIFA 12,Microsoft,X360,2011,Sports,EA,0.85,2.78,0.02,0.53,4.18
Teenage Mutant Ninja Turtles,Nintendo,NES,1989,Action,Palcom,3.38,0.44,0.31,0.04,4.17
Frogger,Sony,PS,1997,Action,Hasbro,3.79,0.27,0,0.11,4.16
Excitebike,Nintendo,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
Madden NFL 2003,Sony,PS2,2002,Sports,EA,3.36,0.21,0.01,0.56,4.14
Super Mario World 2: Yoshi's Island,Nintendo,SNES,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
FIFA Soccer 07,Sony,PS2,2006,Sports,EA,0.71,2.48,0.03,0.89,4.11
Minecraft,Microsoft,XOne,2014,Misc,Microsoft,2.4,1.33,0,0.37,4.11
Assassin's Creed: Unity,Sony,PS4,2014,Action,Ubisoft,1.21,2.17,0.09,0.64,4.11
Street Fighter II Turbo,Nintendo,SNES,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
Far Cry 4,Sony,PS4,2014,Shooter,Ubisoft,1.17,2.19,0.11,0.64,4.1
Watch Dogs,Sony,PS4,2014,Action,Ubisoft,1.4,1.94,0.11,0.65,4.1
Fallout: New Vegas,Microsoft,X360,2010,Role-Playing,Bethesda,2.66,1.03,0.04,0.33,4.07
God of War II,Sony,PS2,2007,Action,Sony,2.32,0.04,0.04,1.67,4.07
World Soccer Winning Eleven 9,Sony,PS2,2005,Sports,Konami,0.12,2.26,0.9,0.77,4.06
Carnival Games,Nintendo,Wii,2007,Misc,Take-Two,2.12,1.47,0.05,0.42,4.06
FIFA 17,Microsoft,XOne,2016,Sports,EA,1,2.77,0,0.29,4.05
Forza Motorsport 2,Microsoft,X360,2007,Racing,Microsoft,2.35,1.27,0.03,0.41,4.05
Tekken Tag Tournament,Sony,PS2,2000,Fighting,Namco Bandai,1.68,1.51,0.51,0.35,4.05
Namco Museum Vol.3,Sony,PS,1996,Misc,Sony,2.28,1.55,0.16,0.06,4.05
Star Fox 64,Nintendo,N64,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
Nintendogs + cats,Nintendo,3DS,2011,Simulation,Nintendo,1.44,1.58,0.73,0.28,4.03
Golf,Nintendo,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
Namco Museum: 50th Anniversary,Sony,PS2,2005,Misc,Namco Bandai,2.08,1.35,0,0.54,3.98
Left 4 Dead 2,Microsoft,X360,2009,Shooter,EA,2.67,0.87,0.05,0.38,3.97
Fallout 3,Sony,PS3,2008,Role-Playing,Bethesda,2.17,1.13,0.07,0.59,3.96
Monster Hunter 4 Ultimate,Nintendo,3DS,2014,Role-Playing,Nintendo,0.72,0.48,2.63,0.12,3.95
The Legend of Zelda: Skyward Sword,Nintendo,Wii,2011,Action,Nintendo,2.03,1.17,0.37,0.38,3.95
Professor Layton and the Diabolical Box,Nintendo,DS,2007,Puzzle,Nintendo,0.9,1.76,0.92,0.37,3.94
NBA 2K16,Sony,PS4,2015,Sports,Take-Two,2.53,0.66,0.05,0.7,3.94
EA Sports Active,Nintendo,Wii,2009,Sports,EA,2.1,1.35,0.06,0.4,3.91
Donkey Kong Land,Nintendo,GB,1994,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91
Tony Hawk's Underground,Sony,PS2,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9
Tekken 5,Sony,PS2,2005,Fighting,Namco Bandai,0.93,1.94,0.31,0.7,3.87
MotorStorm,Sony,PS3,2006,Racing,Sony,1.53,1.6,0.06,0.67,3.87
Dragon Warrior III,Nintendo,NES,1988,Role-Playing,Square,0.1,0,3.77,0,3.87
Sports Champions,Sony,PS3,2010,Sports,Sony,2.14,1.12,0.1,0.5,3.86
World Soccer Winning Eleven 8 International,Sony,PS2,2004,Sports,Konami,0.16,1.89,1.12,0.68,3.85
Call of Duty: Ghosts,Sony,PS4,2013,Shooter,Activision,1.79,1.43,0.05,0.57,3.84
Namco Museum Vol.1,Sony,PS,1995,Misc,Sony,2.12,1.44,0.22,0.06,3.84
The Legend of Zelda: Link's Awakening,Nintendo,GB,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
Flash Focus: Vision Training in Minutes a Day,Nintendo,DS,2007,Misc,Nintendo,0.86,1.56,1.05,0.35,3.83
Big Brain Academy: Wii Degree,Nintendo,Wii,2007,Misc,Nintendo,1.05,1.91,0.41,0.42,3.79
Mario & Luigi: Bowser's Inside Story,Nintendo,DS,2009,Role-Playing,Nintendo,2.23,0.47,0.81,0.26,3.77
Resident Evil Director's Cut,Sony,PS,1996,Action,Virgin,1.82,1.24,0.47,0.25,3.77
LEGO Indiana Jones: The Original Adventures,Microsoft,X360,2008,Action,Activision,2.4,1.01,0,0.36,3.76
The Legend of Zelda: Breath of the Wild,Nintendo,NS,2017,Action,Nintendo,1.8,1.07,0.59,0.28,3.75
Ratchet & Clank: Size Matters,Sony,PSP,2007,Platform,Sony,1.4,1.39,0.1,0.86,3.74
Harry Potter and the Sorcerer's Stone,Sony,PS,2001,Action,EA,1.37,2,0.14,0.22,3.73
Assassin's Creed IV: Black Flag,Sony,PS3,2013,Action,Ubisoft,1.34,1.69,0.13,0.57,3.73
Resident Evil 3: Nemesis,Sony,PS,1999,Action,Eidos,1.3,0.77,1.54,0.11,3.72
Super Paper Mario,Nintendo,Wii,2007,Platform,Nintendo,1.95,0.86,0.59,0.31,3.72
Mario & Sonic at the London 2012 Olympic Games,Nintendo,Wii,2011,Sports,Sega,1.12,1.87,0.27,0.45,3.72
Spyro: Year of the Dragon,Sony,PS,2000,Platform,Sony,1.93,1.58,0,0.19,3.71
FIFA Soccer 2005,Sony,PS2,2004,Sports,EA,0.58,2.48,0.04,0.59,3.7
Pokémon Trading Card Game,Nintendo,GB,1998,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7
Assassin's Creed Syndicate,Sony,PS4,2015,Action,Ubisoft,0.87,2.17,0.08,0.56,3.68
Tony Hawk's Pro Skater 4,Sony,PS2,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67
Overwatch,Sony,PS4,2016,Shooter,Activision,1.37,1.56,0.17,0.58,3.67
Friend Collection,Nintendo,DS,2009,Misc,Nintendo,0,0,3.67,0,3.67
MySims,Nintendo,DS,2007,Simulation,EA,1.58,1.59,0.08,0.41,3.66
Banjo-Kazooie,Nintendo,N64,1998,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
SOCOM: U.S. Navy SEALs,Sony,PS2,2002,Shooter,Sony,2.53,0.81,0.06,0.24,3.65
Midnight Club 3: DUB Edition,Sony,PSP,2005,Racing,Take-Two,1.65,1.21,0,0.79,3.65
Jak and Daxter: The Precursor Legacy,Sony,PS2,2001,Platform,Sony,2.08,1.09,0.15,0.33,3.64
Battlefield 4,Sony,PS4,2013,Shooter,EA,1.38,1.55,0.18,0.52,3.63
Pro Evolution Soccer 2008,Sony,PS2,2007,Sports,Konami,0.05,0,0.64,2.93,3.63
Pokemon Snap,Nintendo,N64,1999,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63
Guitar Hero: World Tour,Nintendo,Wii,2008,Misc,Activision,2.32,0.96,0,0.34,3.62
Resident Evil 4,Sony,PS2,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62
FIFA Soccer 10,Sony,PS3,2009,Sports,EA,0.6,2.45,0.05,0.52,3.62
The Simpsons: Road Rage,Sony,PS2,2001,Racing,EA,2.02,1.17,0,0.42,3.61
Star Wars: Battlefront,Sony,PS2,2004,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61
Yokai Watch 2 Ganso/Honke,Nintendo,3DS,2014,Role-Playing,Nintendo,0.17,0.2,3.19,0.03,3.6
Luigi's Mansion,Nintendo,GC,2001,Action,Nintendo,2.38,0.67,0.46,0.1,3.6
Just Dance 2014,Nintendo,Wii,2013,Misc,Ubisoft,1.9,1.4,0,0.31,3.6
Star Wars: Battlefront II,Sony,PS2,2005,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59
Cooking Mama 2: Dinner With Friends,Nintendo,DS,2007,Simulation,505 Games,1.6,1.49,0.1,0.39,3.58
WWF SmackDown!,Sony,PS,2000,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
Assassin's Creed: Unity,Microsoft,XOne,2014,Action,Ubisoft,2.34,0.9,0,0.34,3.58
Croc: Legend of the Gobbos,Sony,PS,1997,Platform,Fox Interactive,1.57,1.79,0,0.2,3.56
Gears of War: Ultimate Edition,Microsoft,XOne,2015,Shooter,Microsoft,2.86,0.34,0,0.37,3.56
Horizon: Zero Dawn,Sony,PS4,2017,Action,Sony,0.95,1.86,0.23,0.53,3.56
Tomb Raider III: Adventures of Lara Croft,Sony,PS,1997,Action,Eidos,1.66,1.58,0.12,0.18,3.54
The Getaway,Sony,PS2,2002,Action,Sony,1.23,1.77,0.05,0.49,3.54
Grand Theft Auto: Liberty City Stories,Sony,PS2,2006,Action,Take-Two,1.56,1.4,0.07,0.5,3.54
James Bond 007: Agent Under Fire,Sony,PS2,2001,Shooter,EA,1.9,1.13,0.1,0.41,3.53
LEGO Star Wars: The Video Game,Sony,PS2,2005,Action,Eidos,1.98,1.14,0.01,0.41,3.53
FIFA Soccer 11,Microsoft,X360,2010,Sports,EA,0.71,2.39,0.02,0.4,3.52
Spyro 2: Ripto's Rage!,Sony,PS,1999,Platform,Sony,2.14,1.21,0.01,0.17,3.52
Rugrats in Paris: The Movie,Sony,PS,2000,Action,THQ,1.96,1.33,0,0.23,3.52
Resident Evil 5,Microsoft,X360,2009,Action,Capcom,2.12,0.93,0.12,0.34,3.51
Left 4 Dead,Microsoft,X360,2008,Shooter,EA,2.66,0.49,0.05,0.3,3.51
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Nintendo,SNES,1996,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51
Assassin's Creed: Brotherhood,Microsoft,X360,2010,Action,Ubisoft,2.86,0.39,0.03,0.24,3.51
Battlefield 4,Microsoft,X360,2013,Shooter,EA,2.16,1.02,0.02,0.31,3.5
Battlefield 4,Sony,PS3,2013,Shooter,EA,1.31,1.42,0.27,0.5,3.5
Batman: Arkham Asylum,Microsoft,X360,2009,Action,Eidos,2.22,0.95,0.02,0.31,3.5
Kung Fu,Nintendo,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
FIFA Soccer 2004,Sony,PS2,2003,Sports,EA,0.59,2.36,0.04,0.51,3.49
Battlefield: Bad Company 2,Microsoft,X360,2010,Shooter,EA,2.11,1.01,0.04,0.32,3.48
Monster Hunter X,Nintendo,3DS,2015,Action,Capcom,0.34,0.26,2.81,0.06,3.47
Metal Gear Solid V: The Phantom Pain,Sony,PS4,2015,Action,Konami,1.12,1.36,0.5,0.49,3.47
Guitar Hero: On Tour,Nintendo,DS,2008,Misc,Activision,2.1,1.01,0.01,0.35,3.46
Mario & Sonic at the Olympic Winter Games,Nintendo,DS,2009,Sports,Sega,1.21,1.62,0.27,0.37,3.46
Borderlands,Microsoft,X360,2009,Shooter,Take-Two,2.41,0.71,0.03,0.29,3.46
Super Mario Maker,Nintendo,WiiU,2015,Platform,Nintendo,1.25,0.98,1,0.21,3.45
Clubhouse Games,Nintendo,DS,2006,Misc,Nintendo,0.59,1.79,0.73,0.34,3.45
Monster Hunter 4,Nintendo,3DS,2013,Role-Playing,Capcom,0,0,3.44,0,3.44
Tekken 4,Sony,PS2,2002,Fighting,Namco Bandai,1.55,1.27,0.33,0.29,3.44
Final Fantasy III,Nintendo,SNES,1994,Role-Playing,Square,0.86,0,2.55,0.02,3.42
Grand Theft Auto 2,Sony,PS,1998,Action,Take-Two,1.13,2.07,0,0.22,3.42
Spider-Man 2,Sony,PS2,2004,Action,Activision,1.75,1.2,0.02,0.43,3.41
Halo: The Master Chief Collection,Microsoft,XOne,2014,Shooter,Microsoft,2.04,1.03,0.03,0.31,3.41
F-1 Race,Nintendo,GB,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41
LittleBigPlanet 2,Sony,PS3,2011,Platform,Sony,1.83,1.05,0.06,0.46,3.41
LEGO Batman: The Videogame,Microsoft,X360,2008,Action,Warner Bros,2.05,1.04,0,0.33,3.41
FIFA Soccer 2003,Sony,PS2,2002,Sports,EA,0.46,2.28,0.05,0.61,3.4
NBA 2K17,Sony,PS4,2016,Sports,Take-Two,2.2,0.56,0.03,0.61,3.4
Destiny,Microsoft,XOne,2014,Shooter,Activision,2.15,0.92,0,0.32,3.39
Crash Bash,Sony,PS,2000,Misc,Sony,1.56,1.47,0.19,0.17,3.39
WWF War Zone,Sony,PS,1998,Fighting,Acclaim,2.47,0.76,0,0.13,3.36
The Legend of Zelda: Majora's Mask,Nintendo,N64,2000,Action,Nintendo,1.9,0.67,0.73,0.06,3.36
Far Cry 3,Sony,PS3,2012,Shooter,Ubisoft,0.88,1.7,0.1,0.67,3.35
Rugrats: Search For Reptar,Sony,PS,1998,Adventure,THQ,1.63,1.53,0,0.18,3.34
James Bond 007: Nightfire,Sony,PS2,2002,Shooter,EA,1.45,1.29,0.12,0.46,3.33
English Training: Have Fun Improving Your Skills!,Nintendo,DS,2006,Misc,Nintendo,0,0.99,2.32,0.02,3.33
Ratchet & Clank,Sony,PS2,2002,Platform,Sony,1.44,1.01,0.57,0.3,3.33
Gran Turismo 6,Sony,PS3,2013,Racing,Sony,0.76,1.7,0.41,0.46,3.33
Star Wars Episode III: Revenge of the Sith,Sony,PS2,2005,Action,LucasArts,1.47,1.39,0.03,0.43,3.32
Animal Crossing: Happy Home Designer,Nintendo,3DS,2015,Simulation,Nintendo,0.63,1.12,1.43,0.14,3.32
The Legend of Zelda: Spirit Tracks,Nintendo,DS,2009,Action,Nintendo,1.4,0.91,0.74,0.26,3.31
Max Payne,Sony,PS2,2001,Shooter,Take-Two,1.99,1.05,0.05,0.22,3.31
Assassin's Creed IV: Black Flag,Microsoft,X360,2013,Action,Ubisoft,1.9,1.11,0.01,0.29,3.31
FIFA 16,Microsoft,XOne,2015,Sports,EA,0.92,2.13,0,0.24,3.28
The Lord of the Rings: The Return of the King,Sony,PS2,2003,Action,EA,1.5,1.28,0.05,0.46,3.28
Madden NFL 16,Sony,PS4,2015,Sports,EA,2.37,0.31,0,0.6,3.28
True Crime: Streets of LA,Sony,PS2,2003,Action,Activision,1.89,1.05,0.02,0.31,3.27
Professor Layton and the Unwound Future,Nintendo,DS,2008,Puzzle,Nintendo,0.61,1.57,0.82,0.27,3.27
The Legend of Zelda: A Link Between Worlds,Nintendo,3DS,2013,Action,Nintendo,1.42,1.13,0.47,0.24,3.26
Gran Turismo (PSP),Sony,PSP,2009,Racing,Sony,0.51,1.57,0.31,0.87,3.26
Wii Music,Nintendo,Wii,2008,Misc,Nintendo,1.35,1.12,0.46,0.32,3.25
Tekken,Sony,PS,1995,Fighting,Sony,0.95,1.3,0.77,0.22,3.24
Watch Dogs 2,Sony,PS4,2016,Action,Ubisoft,0.89,1.73,0.12,0.49,3.23
007: Tomorrow Never Dies,Sony,PS,1999,Shooter,EA,1.72,1.33,0,0.16,3.21
Baseball,Nintendo,NES,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
Killer Instinct,Nintendo,SNES,1995,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2
WWF SmackDown! 2: Know Your Role,Sony,PS,2000,Fighting,THQ,1.76,1.21,0.07,0.16,3.2
Dragon Quest VI: Maboroshi no Daichi,Nintendo,SNES,1995,Role-Playing,Square,0,0,3.19,0,3.19
L.A. Noire,Sony,PS3,2011,Adventure,Take-Two,1.29,1.29,0.12,0.5,3.19
Enter the Matrix,Sony,PS2,2003,Action,Atari,1.78,1.12,0.09,0.19,3.18
God of War: Chains of Olympus,Sony,PSP,2008,Action,Sony,1.48,1,0.04,0.66,3.18
Crisis Core: Final Fantasy VII,Sony,PSP,2007,Role-Playing,Square,1.35,0.59,0.8,0.43,3.18
Dance Central,Microsoft,X360,2010,Misc,MTV,2.15,0.76,0.01,0.26,3.17
Ace Combat 04: Shattered Skies,Sony,PS2,2001,Simulation,Sony,2.06,0.56,0.38,0.17,3.17
Madden NFL 17,Sony,PS4,2016,Sports,EA,2.18,0.4,0,0.58,3.16
Animal Crossing,Nintendo,GC,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15
Club Penguin: Elite Penguin Force,Nintendo,DS,2008,Adventure,Disney,1.87,0.97,0,0.3,3.14
FIFA Soccer 08,Sony,PS2,2007,Sports,EA,0.68,0,0,2.46,3.14
Mario Party 9,Nintendo,Wii,2012,Misc,Nintendo,1.06,1.1,0.77,0.22,3.14
Spider-Man,Sony,PS,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13
Fallout: New Vegas,Sony,PS3,2010,Role-Playing,Bethesda,1.53,1.03,0.1,0.47,3.13
Mortal Kombat X,Sony,PS4,2015,Fighting,Warner Bros,1.67,0.92,0,0.54,3.13
Need for Speed III: Hot Pursuit,Sony,PS,1998,Racing,EA,2.14,0.86,0,0.13,3.12
Star Wars Episode I Racer,Nintendo,N64,1999,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12
Rhythm Heaven,Nintendo,DS,2008,Misc,Nintendo,0.55,0.5,1.93,0.13,3.12
Personal Trainer: Cooking,Nintendo,DS,2006,Misc,Nintendo,0.91,1,1.03,0.17,3.12
Sonic Rush,Nintendo,DS,2005,Platform,Sega,1.21,1.56,0.06,0.29,3.12
Dragon Warrior IV,Nintendo,NES,1990,Role-Playing,Square,0.08,0,3.03,0.01,3.12
Resident Evil 6,Sony,PS3,2012,Shooter,Capcom,0.88,0.94,0.88,0.4,3.1
Mass Effect 2,Microsoft,X360,2010,Role-Playing,EA,1.99,0.81,0.03,0.27,3.1
Gears of War 4,Microsoft,XOne,2016,Shooter,Microsoft,1.98,0.83,0,0.29,3.1
The Elder Scrolls IV: Oblivion,Sony,PS3,2007,Role-Playing,Ubisoft,1.69,0.85,0.14,0.43,3.1
Middle-Earth: Shadow of Mordor,Sony,PS4,2014,Action,Warner Bros,1.03,1.52,0.05,0.49,3.1
Dragon Ball Z: Budokai,Sony,PS2,2002,Fighting,Atari,2.17,0.28,0.55,0.08,3.09
Mario Kart 8 Deluxe,Nintendo,NS,2017,Racing,Nintendo,1.21,0.98,0.7,0.2,3.09
Madden NFL 2002,Sony,PS2,2001,Sports,EA,2.5,0.16,0.01,0.42,3.08
World Class Track Meet,Nintendo,NES,1986,Sports,Namco Bandai,1.92,0.45,0.64,0.07,3.08
Donkey Kong,Nintendo,GB,1994,Platform,Nintendo,1.57,0.62,0.55,0.34,3.07
LEGO Batman: The Videogame,Nintendo,Wii,2008,Action,Warner Bros,1.8,0.98,0,0.29,3.07
Kung Fu Panda,Microsoft,X360,2008,Action,Activision,1.91,0.84,0,0.29,3.05
Borderlands 2,Microsoft,X360,2012,Shooter,Take-Two,1.89,0.88,0.04,0.25,3.05
Saints Row 2,Microsoft,X360,2008,Action,THQ,1.96,0.79,0.02,0.28,3.05
LEGO Batman: The Videogame,Nintendo,DS,2008,Action,Warner Bros,1.75,1.01,0,0.29,3.05
Mass Effect 3,Microsoft,X360,2012,Role-Playing,EA,1.94,0.84,0.03,0.24,3.04
FIFA 14,Sony,PS4,2013,Sports,EA,0.62,1.85,0.12,0.44,3.03
Heavy Rain,Sony,PS3,2010,Adventure,Sony,1.29,1.21,0.06,0.47,3.03
Rayman,Sony,PS,1995,Platform,Ubisoft,1.54,1.33,0,0.16,3.03
Mike Tyson's Punch-Out!!,Nintendo,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
NBA 2K13,Microsoft,X360,2012,Sports,Take-Two,2.62,0.2,0.01,0.19,3.02
WWE SmackDown! Shut Your Mouth,Sony,PS2,2002,Sports,THQ,1.45,1.13,0.07,0.38,3.02
Tom Clancy's Splinter Cell,Microsoft,XB,2002,Action,Ubisoft,1.85,1.04,0,0.13,3.02
Epic Mickey,Nintendo,Wii,2010,Platform,Disney,2.04,0.63,0.12,0.22,3.01
Killzone 2,Sony,PS3,2009,Shooter,Sony,1.4,1.06,0.08,0.47,3.01
Far Cry 3,Microsoft,X360,2012,Shooter,Ubisoft,1.38,1.32,0.02,0.28,3.01
Dragon Ball Z: Budokai Tenkaichi 3,Sony,PS2,2007,Fighting,Atari,1.15,0,0.76,1.09,3
WWE SmackDown! Vs Raw 2006,Sony,PS2,2005,Fighting,THQ,1.57,1.02,0,0.41,3
Devil May Cry,Sony,PS2,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99
World Soccer Winning Eleven 6 International,Sony,PS2,2002,Sports,Konami,0.12,1.26,1.16,0.45,2.99
Star Fox,Nintendo,SNES,1993,Shooter,Nintendo,1.61,0.51,0.8,0.07,2.99
Titanfall,Microsoft,XOne,2014,Shooter,EA,1.86,0.8,0.04,0.27,2.97
Tom Clancy's Rainbow Six: Siege,Sony,PS4,2015,Shooter,Ubisoft,0.79,1.52,0.23,0.44,2.97
Hitman 2: Silent Assassin,Sony,PS2,2002,Action,Eidos,1.36,1.15,0.04,0.41,2.96
Sonic Heroes,Sony,PS2,2003,Platform,Sega,1.04,1.37,0.06,0.49,2.96
Battlefield: Bad Company 2,Sony,PS3,2010,Shooter,EA,1.33,1.1,0.08,0.44,2.95
Call of Duty: Ghosts,Microsoft,XOne,2013,Shooter,Activision,1.89,0.77,0,0.28,2.94
Pac-Man Collection,Nintendo,GBA,2001,Puzzle,Atari,2.07,0.77,0.05,0.05,2.94
Street Fighter IV,Microsoft,X360,2009,Fighting,Capcom,1.83,0.7,0.15,0.26,2.94
Wave Race 64,Nintendo,N64,1996,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94
SOCOM II: U.S. Navy SEALs,Sony,PS2,2003,Shooter,Sony,2.22,0.51,0.06,0.15,2.94
WWE SmackDown! vs. RAW 2006,Sony,PS2,2005,Fighting,THQ,1.45,1.11,0.04,0.33,2.94
FIFA 15,Microsoft,X360,2014,Sports,EA,0.8,1.92,0,0.21,2.93
inFAMOUS,Sony,PS3,2009,Action,Sony,1.76,0.68,0.12,0.37,2.93
Kirby Super Star Ultra,Nintendo,DS,2008,Platform,Nintendo,1.55,0.04,1.19,0.15,2.92
Assassin's Creed IV: Black Flag,Sony,PS4,2013,Action,Ubisoft,1.07,1.37,0.06,0.43,2.92
Mass Effect,Microsoft,X360,2007,Role-Playing,Microsoft,1.83,0.79,0.03,0.27,2.91
Super Mario World 2: Yoshi's Island,Nintendo,GBA,2002,Platform,Nintendo,1.75,0.45,0.62,0.09,2.91
World Soccer Winning Eleven 7 International,Sony,PS2,2003,Sports,Konami,0.08,1.24,1.13,0.45,2.9
Sonic Mega Collection Plus,Sony,PS2,2004,Misc,Sega,1.54,1.14,0,0.22,2.9
Cooking Mama: Cook Off,Nintendo,Wii,2007,Simulation,505 Games,1.41,1.12,0.05,0.3,2.89
Call of Duty: Finest Hour,Sony,PS2,2004,Shooter,Activision,1.51,1.12,0.01,0.24,2.89
WarioWare: Smooth Moves,Nintendo,Wii,2006,Puzzle,Nintendo,0.86,1.04,0.73,0.26,2.89
Sega Superstars Tennis,Microsoft,X360,2008,Sports,Sega,1.75,0.86,0,0.28,2.89
Hot Shots Golf 3,Sony,PS2,2001,Sports,Sony,0.99,0.32,1.38,0.2,2.89
Syphon Filter,Sony,PS,1999,Shooter,Sony,2.03,0.72,0.02,0.11,2.88
Colin McRae Rally,Sony,PS,1998,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87
Imagine: Babyz,Nintendo,DS,2007,Simulation,Ubisoft,1.3,1.26,0,0.31,2.87
Madden NFL 13,Microsoft,X360,2012,Sports,EA,2.53,0.15,0,0.17,2.86
The Elder Scrolls III: Morrowind,Microsoft,XB,2002,Role-Playing,Ubisoft,2.09,0.63,0.03,0.11,2.86
Yoshi's Story,Nintendo,N64,1997,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85
F-Zero,Nintendo,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85
Mortal Kombat,Sony,PS3,2011,Fighting,Warner Bros,1.98,0.53,0,0.34,2.85
Madden NFL 10,Microsoft,X360,2009,Sports,EA,2.52,0.09,0,0.22,2.83
Zumba Fitness 2,Nintendo,Wii,2011,Sports,Majesco,1.52,1.04,0,0.27,2.83
inFAMOUS: Second Son,Sony,PS4,2014,Action,Sony,1.29,0.99,0.07,0.47,2.83
BioShock,Microsoft,X360,2007,Shooter,Take-Two,1.65,0.85,0.05,0.28,2.83
WWE SmackDown! vs. Raw,Sony,PS2,2002,Fighting,THQ,1.32,1.08,0.04,0.39,2.83
Metroid Prime,Nintendo,GC,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82
Finding Nemo,Nintendo,GBA,2003,Action,THQ,1.59,1.05,0.04,0.14,2.82
Assassin's Creed: Brotherhood,Sony,PS3,2010,Action,Ubisoft,1.87,0.55,0.11,0.29,2.82
Medal of Honor,Sony,PS3,2010,Shooter,EA,1.28,1.04,0.07,0.42,2.81
Need for Speed: Most Wanted,Sony,PS3,2012,Racing,EA,0.71,1.46,0.06,0.58,2.81
Imagine: Fashion Designer,Nintendo,DS,2007,Simulation,Ubisoft,1.32,1.19,0,0.3,2.81
WWE SmackDown! Here Comes the Pain,Sony,PS2,2003,Fighting,THQ,1.32,1.06,0.04,0.38,2.8
NBA Street,Sony,PS2,2001,Sports,EA,2.19,0.22,0,0.38,2.79
Mortal Kombat Trilogy,Sony,PS,1996,Fighting,Infogrames,1.98,0.7,0,0.11,2.79
Monster Hunter Tri,Nintendo,3DS,2011,Role-Playing,Nintendo,0.46,0.29,1.96,0.07,2.79
A Bug's Life,Sony,PS,1998,Platform,Sony,1.96,0.72,0,0.11,2.79
Hot Shots Golf,Sony,PS,1997,Sports,Sony,0.29,0.2,2.13,0.18,2.79
Killzone 3,Sony,PS3,2011,Shooter,Sony,1.46,0.86,0.09,0.38,2.79
Bloodborne,Sony,PS4,2015,Action,Sony,1.14,0.96,0.27,0.43,2.79
Dragon Quest V: Tenkuu no Hanayome,Nintendo,SNES,1992,Role-Playing,Square,0,0,2.78,0.01,2.79
WWF SmackDown! Just Bring It,Sony,PS2,2001,Fighting,THQ,1.19,1.15,0.04,0.41,2.79
Skylanders: Spyro's Adventure,Nintendo,Wii,2011,Action,Activision,1.35,1.13,0,0.3,2.78
Need for Speed: Hot Pursuit,Sony,PS3,2010,Racing,EA,1.05,1.23,0.03,0.47,2.78
Ratchet & Clank: Going Commando,Sony,PS2,2003,Platform,Sony,1.44,0.83,0.26,0.25,2.78
Jak II,Sony,PS2,2003,Platform,Sony,1.68,0.74,0,0.36,2.78
The Sims,Sony,PS2,2003,Simulation,EA,1.41,1.12,0,0.24,2.77
Need for Speed (2015),Sony,PS4,2015,Racing,EA,0.55,1.74,0.06,0.42,2.77
Star Wars: The Force Unleashed,Microsoft,X360,2008,Action,LucasArts,1.74,0.77,0,0.26,2.77
Yoshi's Island DS,Nintendo,DS,2006,Platform,Nintendo,1.45,0.07,1.1,0.15,2.77
Saints Row: The Third,Microsoft,X360,2011,Action,THQ,1.26,1.14,0.07,0.3,2.77
FIFA 16,Sony,PS3,2015,Sports,EA,0.43,1.85,0.05,0.41,2.75
Tekken 6,Sony,PS3,2009,Fighting,Namco Bandai,1.2,0.97,0.17,0.42,2.75
Mario Paint,Nintendo,SNES,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75
Sonic and the Secret Rings,Nintendo,Wii,2007,Platform,Sega,1.22,1.19,0.04,0.3,2.74
Metroid,Nintendo,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73
